cod_elec,type_elec,date,year,month,day,topic
01,referendum,1976-12-15,1976,12,15,Ref. Proyecto Ley Reforma Política
01,referendum,1978-12-06,1978,12,6,Constitución
01,referendum,1986-03-12,1986,3,12,OTAN
01,referendum,2005-02-20,2005,2,20,Constitución UE
02,congress,1977-06-15,1977,6,15,NA
02,congress,1979-03-01,1979,3,1,NA
02,congress,1982-10-28,1982,10,28,NA
02,congress,1986-06-22,1986,6,22,NA
02,congress,1989-10-29,1989,10,29,NA
02,congress,1993-06-06,1993,6,6,NA
02,congress,1996-03-03,1996,3,3,NA
02,congress,2000-03-12,2000,3,12,NA
02,congress,2004-03-14,2004,3,14,NA
02,congress,2008-03-09,2008,3,9,NA
02,congress,2011-11-20,2011,11,20,NA
02,congress,2015-12-20,2015,12,20,NA
02,congress,2016-06-26,2016,6,26,NA
02,congress,2019-04-28,2019,4,28,NA
02,congress,2019-11-10,2019,11,10,NA
02,congress,NA,NA,NA,NA,NA
03,senate,1977-06-15,1977,6,15,NA
03,senate,1979-03-01,1979,3,1,NA
03,senate,1982-10-28,1982,10,28,NA
03,senate,1986-06-22,1986,6,22,NA
03,senate,1989-10-29,1989,10,29,NA
03,senate,1993-06-06,1993,6,6,NA
03,senate,1996-03-03,1996,3,3,NA
03,senate,2000-03-12,2000,3,12,NA
03,senate,2004-03-14,2004,3,14,NA
03,senate,2008-03-09,2008,3,9,NA
03,senate,2011-11-20,2011,11,20,NA
03,senate,2015-12-20,2015,12,20,NA
03,senate,2016-06-26,2016,6,26,NA
03,senate,2019-04-28,2019,4,28,NA
03,senate,2019-11-10,2019,11,10,NA
03,senate,NA,NA,NA,NA,NA
04,local,1979-04-03,1979,4,3,NA
04,local,1983-05-08,1983,5,8,NA
04,local,1987-06-10,1987,6,10,NA
04,local,1991-05-26,1991,5,26,NA
04,local,1995-05-28,1995,5,28,NA
04,local,1999-06-13,1999,6,13,NA
04,local,2003-05-28,2003,5,28,NA
04,local,2007-05-27,2007,5,27,NA
04,local,2011-05-22,2011,5,22,NA
04,local,2015-05-24,2015,5,24,NA
04,local,2019-05-26,2019,5,26,NA
04,local,2023-05-28,2023,5,28,NA
06,cabildo,1979-04-03,1979,4,3,NA
06,cabildo,1983-05-08,1983,5,8,NA
06,cabildo,1987-06-10,1987,6,10,NA
06,cabildo,1991-05-26,1991,5,26,NA
06,cabildo,1995-05-28,1995,5,28,NA
06,cabildo,1999-06-13,1999,6,13,NA
06,cabildo,2003-05-28,2003,5,28,NA
06,cabildo,2007-05-27,2007,5,27,NA
06,cabildo,2011-05-22,2011,5,22,NA
06,cabildo,2015-05-24,2015,5,24,NA
06,cabildo,2019-05-26,2019,5,26,NA
07,EU,1987-06-10,1987,6,10,NA
07,EU,1989-06-15,1989,6,15,NA
07,EU,1994-06-12,1994,6,12,NA
07,EU,1999-06-13,1999,6,13,NA
07,EU,2004-06-13,2004,6,13,NA
07,EU,2009-06-07,2009,6,7,NA
07,EU,2014-05-25,2014,5,25,NA
07,EU,2019-05-26,2019,5,26,NA
